Entity_LogicalId,Entity_EU_ReferenceNumber,Entity_SubjectType,Entity_SubjectType_ClassificationCode,Citizenship_CountryIso2Code,Citizenship_Remark
113086,EU.3921.40,P,person,CD,
113282,EU.4018.13,P,person,CD,
113291,EU.4058.17,P,person,CD,
113326,EU.4019.75,P,person,GB,United Kingdom of Great Britain and Northern Ireland
113334,EU.4020.3,P,person,GB,United Kingdom of Great Britain and Northern Ireland
113343,EU.4021.65,P,person,ID,
113355,EU.4022.30,P,person,RU,
113363,EU.4023.92,P,person,GE,
113363,EU.4023.92,P,person,RU,
113378,EU.4040.5,P,person,ID,
113672,EU.4048.16,P,person,KP,
113677,EU.4136.50,P,person,KP,
113683,EU.4137.15,P,person,KP,
113692,EU.4138.77,P,person,KP,
113697,EU.4139.42,P,person,KP,
113703,EU.4140.67,P,person,KP,
113708,EU.4141.32,P,person,KP,
113713,EU.4142.94,P,person,KP,
113717,EU.4143.59,P,person,KP,
113787,EU.4110.64,P,person,RU,
113926,EU.3997.31,P,person,TT,
114578,EU.4091.72,P,person,KP,
114826,EU.4261.63,P,person,KP,
114830,EU.4262.62,P,person,KP,
114848,EU.4265.59,P,person,KP,
114855,EU.4266.58,P,person,KP,
114860,EU.4267.57,P,person,KP,
114866,EU.4268.56,P,person,KP,
114872,EU.4269.55,P,person,KP,
114878,EU.4270.33,P,person,KP,
114884,EU.4271.32,P,person,KP,
114898,EU.4273.30,P,person,KP,
114913,EU.4275.28,P,person,KP,
114925,EU.4277.26,P,person,KP,
114931,EU.4278.25,P,person,KP,
114937,EU.4279.24,P,person,KP,
114942,EU.4280.2,P,person,KP,
115307,EU.4325.95,P,person,RW,
115699,EU.4381.10,P,person,IQ,
115714,EU.4382.9,P,person,IQ,
115820,EU.4385.6,P,person,KE,
115829,EU.4386.5,P,person,SO,
116041,EU.4421.11,P,person,KP,
117053,EU.4565.86,P,person,ER,
117060,EU.4566.85,P,person,ER,
117235,EU.4584.25,P,person,LY,
117244,EU.4585.24,P,person,LY,
117251,EU.4586.23,P,person,LY,
117261,EU.4587.22,P,person,LY,
117360,EU.4602.90,P,person,PH,
117373,EU.4603.89,P,person,PH,
117605,EU.4641.64,P,person,DZ,
117856,EU.4681.37,P,person,SS,
117869,EU.4683.35,P,person,UG,
117869,EU.4683.35,P,person,SS,
117925,EU.4701.3,P,person,ID,
117943,EU.4702.2,P,person,ID,
117943,EU.4702.2,P,person,MY,
117974,EU.4704.0,P,person,PH,
118025,EU.4721.38,P,person,LY,
118362,EU.4761.11,P,person,GB,United Kingdom of Great Britain and Northern Ireland
